index,word,stem,suffix,frequency,frequency_in_a_million
208,guardsman,guards,man,33,3.1675978924531405
209,business-woman,business-,woman,33,3.1675978924531405
210,bail bondsman,bail bonds,man,32,3.071610077530318
211,patroness,patron,ess,32,3.071610077530318
212,bandsman,bands,man,32,3.071610077530318
213,laundress,laundr,ess,32,3.071610077530318
214,repair man,repair ,man,32,3.071610077530318
215,foundress,foundr,ess,32,3.071610077530318
216,roman,ro,man,31,2.9756222626074953
217,sidewoman,side,woman,31,2.9756222626074953
218,huntsman,hunts,man,31,2.9756222626074953
219,milkman,milk,man,31,2.9756222626074953
220,spearfisherman,spearfisher,man,31,2.9756222626074953
221,anchorwoman,anchor,woman,30,2.879634447684673
222,helmsman,helms,man,30,2.879634447684673
223,oarsman,oars,man,30,2.879634447684673
224,madwoman,mad,woman,30,2.879634447684673
225,signalman,signal,man,30,2.879634447684673
226,countess,count,ess,30,2.879634447684673
227,middleman,middle,man,29,2.7836466327618505
228,maman,ma,man,29,2.7836466327618505
229,wireman,wire,man,29,2.7836466327618505
230,caveman,cave,man,29,2.7836466327618505
231,homeless,homel,ess,29,2.7836466327618505
232,pitchman,pitch,man,28,2.6876588178390284
233,salaryman,salary,man,28,2.6876588178390284
234,superhuman,superhu,man,28,2.6876588178390284
235,draughtswoman,draughts,woman,28,2.6876588178390284
236,midshipman,midship,man,28,2.6876588178390284
237,prepress,prepr,ess,27,2.591671002916206
238,forman,for,man,27,2.591671002916206
239,yeoman,yeo,man,27,2.591671002916206
240,herdsman,herds,man,26,2.4956831879933836
241,longshoreman,longshore,man,25,2.399695373070561
242,wood craftsman,wood crafts,man,25,2.399695373070561
243,churchman,church,man,25,2.399695373070561
244,tar man,tar ,man,24,2.3037075581477384
245,craftman,craft,man,24,2.3037075581477384
246,to-person,to-,person,24,2.3037075581477384
247,defenceman,defence,man,24,2.3037075581477384
248,countryman,country,man,23,2.2077197432249163
249,boatman,boat,man,23,2.2077197432249163
250,handywoman,handy,woman,23,2.2077197432249163
251,line person,line ,person,23,2.2077197432249163
252,leather craftsman,leather crafts,man,23,2.2077197432249163
253,paintress,paintr,ess,22,2.1117319283020937
254,storeman,store,man,22,2.1117319283020937
255,plantswoman,plants,woman,22,2.1117319283020937
256,car salesperson,car sales,person,21,2.015744113379271
257,blackwoman,black,woman,21,2.015744113379271
258,cis-woman,cis-,woman,21,2.015744113379271
259,clergyperson,clergy,person,21,2.015744113379271
260,axeman,axe,man,21,2.015744113379271
261,policewoman,police,woman,21,2.015744113379271
262,past-chairman,past-chair,man,21,2.015744113379271
263,airline stewardess,airline steward,ess,21,2.015744113379271
264,hitman,hit,man,21,2.015744113379271
265,groomsman,grooms,man,20,1.9197562984564487
266,ess,,ess,20,1.9197562984564487
267,maintenance person,maintenance ,person,20,1.9197562984564487
268,bassman,bass,man,20,1.9197562984564487
269,englishwoman,english,woman,20,1.9197562984564487
270,ambassadress,ambassadr,ess,20,1.9197562984564487
271,handy-man,handy-,man,20,1.9197562984564487
272,draftswoman,drafts,woman,19,1.8237684835336263
273,chariman,chari,man,19,1.8237684835336263
274,restaurant hostess,restaurant host,ess,19,1.8237684835336263
275,transman,trans,man,19,1.8237684835336263
276,career-woman,career-,woman,18,1.727780668610804
277,ex-chairman,ex-chair,man,18,1.727780668610804
278,cornishman,cornish,man,18,1.727780668610804
279,service person,service ,person,18,1.727780668610804
280,party hostess,party host,ess,18,1.727780668610804
281,artilleryman,artillery,man,18,1.727780668610804
282,abbess,abb,ess,18,1.727780668610804
283,door to door salesman,door to door sales,man,18,1.727780668610804
284,linesman,lines,man,18,1.727780668610804
285,bushman,bush,man,18,1.727780668610804
286,saxman,sax,man,18,1.727780668610804
287,tigress,tigr,ess,17,1.6317928536879813
288,jewess,jew,ess,17,1.6317928536879813
289,singing waitress,singing waitr,ess,17,1.6317928536879813
290,body man,body ,man,17,1.6317928536879813
291,draughtsperson,draughts,person,17,1.6317928536879813
292,dairyman,dairy,man,17,1.6317928536879813
293,jazzman,jazz,man,17,1.6317928536879813
294,design draftsman,design drafts,man,17,1.6317928536879813
295,funnyman,funny,man,17,1.6317928536879813
296,switchman,switch,man,17,1.6317928536879813
297,wingwoman,wing,woman,17,1.6317928536879813
298,television cameraman,television camera,man,17,1.6317928536879813
299,retail salesperson,retail sales,person,17,1.6317928536879813
300,clergywoman,clergy,woman,17,1.6317928536879813
301,tailoress,tailor,ess,17,1.6317928536879813
302,penman,pen,man,16,1.535805038765159
303,lobsterman,lobster,man,16,1.535805038765159
304,stress,str,ess,16,1.535805038765159
305,wing-woman,wing-,woman,16,1.535805038765159
306,ringman,ring,man,16,1.535805038765159
307,journeyperson,journey,person,16,1.535805038765159
308,ordinary seaman,ordinary sea,man,16,1.535805038765159
309,crew foreman,crew fore,man,16,1.535805038765159
310,lensman,lens,man,16,1.535805038765159
311,side-woman,side-,woman,16,1.535805038765159
312,show hostess,show host,ess,16,1.535805038765159
313,costume mistress,costume mistr,ess,16,1.535805038765159
314,committeeperson,committee,person,16,1.535805038765159
315,instructress,instructr,ess,15,1.4398172238423366
316,side-person,side-,person,15,1.4398172238423366
317,frontiersman,frontiers,man,15,1.4398172238423366
318,wanderess,wander,ess,15,1.4398172238423366
319,frogman,frog,man,15,1.4398172238423366
320,lawman,law,man,15,1.4398172238423366
321,outdoorsperson,outdoors,person,15,1.4398172238423366
322,air-hostess,air-host,ess,15,1.4398172238423366
323,retail salesman,retail sales,man,15,1.4398172238423366
324,outdoors-woman,outdoors-,woman,15,1.4398172238423366
325,maintenance foreman,maintenance fore,man,15,1.4398172238423366
326,wonderwoman,wonder,woman,15,1.4398172238423366
327,able seaman,able sea,man,14,1.3438294089195142
328,clubman,club,man,14,1.3438294089195142
329,dog-person,dog-,person,14,1.3438294089195142
330,cad draftsman,cad drafts,man,14,1.3438294089195142
331,frontperson,front,person,14,1.3438294089195142
332,trackman,track,man,13,1.2478415939966918
333,baroness,baron,ess,13,1.2478415939966918
334,lumberman,lumber,man,13,1.2478415939966918
335,snowman,snow,man,13,1.2478415939966918
336,nobleman,noble,man,13,1.2478415939966918
337,swordswoman,swords,woman,13,1.2478415939966918
338,flyfisherman,flyfisher,man,13,1.2478415939966918
339,shamaness,shaman,ess,12,1.1518537790738692
340,chair-person,chair-,person,12,1.1518537790738692
341,trans-woman,trans-,woman,12,1.1518537790738692
342,pararescueman,pararescue,man,12,1.1518537790738692
343,upperclassman,upperclass,man,12,1.1518537790738692
344,dress,dr,ess,12,1.1518537790738692
345,garbageman,garbage,man,12,1.1518537790738692
346,bodyman,body,man,12,1.1518537790738692
347,iceman,ice,man,12,1.1518537790738692
348,production foreman,production fore,man,12,1.1518537790738692
349,carpenter foreman,carpenter fore,man,12,1.1518537790738692
350,hype-man,hype-,man,12,1.1518537790738692
351,ex-serviceman,ex-service,man,12,1.1518537790738692
352,horseperson,horse,person,12,1.1518537790738692
353,front-person,front-,person,12,1.1518537790738692
354,protectress,protectr,ess,12,1.1518537790738692
355,landscape foreman,landscape fore,man,12,1.1518537790738692
356,alderperson,alder,person,12,1.1518537790738692
357,yachtswoman,yachts,woman,12,1.1518537790738692
358,lobster fisherman,lobster fisher,man,12,1.1518537790738692
359,houseman,house,man,11,1.0558659641510468
360,headman,head,man,11,1.0558659641510468
361,counter person,counter ,person,11,1.0558659641510468
362,keyperson,key,person,11,1.0558659641510468
363,postmistress,postmistr,ess,11,1.0558659641510468
364,needlewoman,needle,woman,11,1.0558659641510468
365,express,expr,ess,11,1.0558659641510468
366,process,proc,ess,11,1.0558659641510468
367,fuller brush man,fuller brush ,man,11,1.0558659641510468
368,leadman,lead,man,11,1.0558659641510468
369,henchman,hench,man,11,1.0558659641510468
370,highwayman,highway,man,11,1.0558659641510468
371,leatherman,leather,man,11,1.0558659641510468
372,service man,service ,man,11,1.0558659641510468
373,journeywoman,journey,woman,11,1.0558659641510468
374,motorman,motor,man,10,0.9598781492282243
375,fatherless,fatherl,ess,10,0.9598781492282243
376,stickman,stick,man,10,0.9598781492282243
377,bowman,bow,man,10,0.9598781492282243
378,journeyman lineman,journeyman line,man,10,0.9598781492282243
379,professional bass fisherman,professional bass fisher,man,10,0.9598781492282243
380,oilman,oil,man,10,0.9598781492282243
381,sideperson,side,person,10,0.9598781492282243
382,insurance salesperson,insurance sales,person,10,0.9598781492282243
383,fearless,fearl,ess,10,0.9598781492282243
384,deliveryman,delivery,man,10,0.9598781492282243
385,engineman,engine,man,10,0.9598781492282243
386,multi-business,multi-busin,ess,10,0.9598781492282243
387,railwayman,railway,man,10,0.9598781492282243
388,city alderman,city alder,man,10,0.9598781492282243
389,flagman,flag,man,10,0.9598781492282243
390,co-business,co-busin,ess,10,0.9598781492282243
391,foreperson,fore,person,10,0.9598781492282243
392,ice cream man,ice cream ,man,10,0.9598781492282243
393,songman,song,man,9,0.863890334305402
394,crafts-person,crafts-,person,9,0.863890334305402
395,coachman,coach,man,9,0.863890334305402
396,foundryman,foundry,man,9,0.863890334305402
397,dogman,dog,man,9,0.863890334305402
398,transperson,trans,person,9,0.863890334305402
399,newswoman,news,woman,9,0.863890334305402
400,druidess,druid,ess,9,0.863890334305402
401,rodman,rod,man,9,0.863890334305402
402,co-chairwoman,co-chair,woman,9,0.863890334305402
403,childless,childl,ess,9,0.863890334305402
404,burgess,burg,ess,9,0.863890334305402
405,airhostess,airhost,ess,9,0.863890334305402
406,sales-person,sales-,person,9,0.863890334305402
407,attackman,attack,man,9,0.863890334305402
408,indoorsman,indoors,man,9,0.863890334305402
409,smithbusinessman,smithbusiness,man,9,0.863890334305402
410,dustman,dust,man,9,0.863890334305402
411,underclassman,underclass,man,9,0.863890334305402
412,naval aircrewman,naval aircrew,man,8,0.7679025193825795
413,ad-man,ad-,man,8,0.7679025193825795
414,gunman,gun,man,8,0.7679025193825795
415,cochairman,cochair,man,8,0.7679025193825795
416,electrical foreman,electrical fore,man,8,0.7679025193825795
417,new car salesperson,new car sales,person,8,0.7679025193825795
418,tradeswoman,trades,woman,8,0.7679025193825795
419,motherless,motherl,ess,8,0.7679025193825795
420,point-person,point-,person,8,0.7679025193825795
421,anchorperson,anchor,person,8,0.7679025193825795
422,vice-chairwoman,vice-chair,woman,8,0.7679025193825795
423,chaiman,chai,man,8,0.7679025193825795
424,demoness,demon,ess,8,0.7679025193825795
425,restless,restl,ess,8,0.7679025193825795
426,wellness,welln,ess,8,0.7679025193825795
427,machine repairman,machine repair,man,8,0.7679025193825795
428,strongwoman,strong,woman,8,0.7679025193825795
429,electrical journeyman,electrical journey,man,8,0.7679025193825795
430,outdoors-person,outdoors-,person,8,0.7679025193825795
431,everywoman,every,woman,8,0.7679025193825795
432,show-woman,show-,woman,8,0.7679025193825795
433,barrelman,barrel,man,7,0.6719147044597571
434,chess,ch,ess,7,0.6719147044597571
435,spokeperson,spoke,person,7,0.6719147044597571
436,agribusiness,agribusin,ess,7,0.6719147044597571
437,motherwoman,mother,woman,7,0.6719147044597571
438,bookman,book,man,7,0.6719147044597571
