index,stem,words,total_frequency
880,yellow,['yellowman'],12
881,leit,['leitman'],12
882,dirdir,['dirdirman'],12
883,rel,['relman'],12
884,leach,['leachman'],12
885,cheer,['cheerman'],12
886,hor,['horman'],12
887,chees,['cheesman'],12
888,fox,['foxman'],12
889,rag,['ragman'],12
890,crazy,['crazyman'],12
891,cling,['clingman'],12
892,shamsuzza,['shamsuzzaman'],12
893,aid,['aidman'],12
894,stahl,['stahlman'],12
895,glucks,['glucksman'],12
896,klug,['klugman'],12
897,tudj,['tudjman'],11
898,yeat,['yeatman'],11
899,e,['eman'],11
900,bitter,['bitterman'],11
901,spiegel,['spiegelman'],11
902,salary,['salaryman'],11
903,vanne,['vanneman'],11
904,bir,['birman'],11
905,feen,['feenman'],11
906,you,['youman'],11
907,francoger,['francogerman'],11
908,frai,['fraiman'],11
909,estle,['estleman'],11
910,mitt,['mittman'],11
911,dales,['dalesman'],11
912,fors,['forsman'],11
913,de,['deman'],11
914,border,['borderman'],11
915,hana,['hanaman'],11
916,kos,['kosman'],11
917,gag,['gagman'],11
918,suz,['suzman'],11
919,leiber,['leiberman'],11
920,hodg,['hodgman'],11
921,diel,['dielman'],11
922,grecoro,['grecoroman'],11
923,get,['getman'],11
924,schiff,['schiffman'],11
925,crane,['craneman'],11
926,audi,['audiman'],11
927,oh,['ohman'],11
928,crist,['cristman'],11
929,engel,['engelman'],11
930,fleish,['fleishman'],11
931,sinner,['sinnerman'],11
932,begel,['begelman'],11
933,shirt,['shirtman'],11
934,seal,['sealman'],11
935,ta,['taman'],11
936,reith,['reithman'],11
937,pig,['pigman'],10
938,gole,['goleman'],10
939,ranche,['rancheman'],10
940,stevel,['stevelman'],10
941,ros,['rosman'],10
942,older,['olderman'],10
943,chore,['choreman'],10
944,haga,['hagaman'],10
945,serving,['servingman'],10
946,foundry,['foundryman'],10
947,gemple,['gempleman'],10
948,carlo,['carloman'],10
949,spiel,['spielman'],10
950,prop,['propman'],10
951,coal,['coalman'],10
952,rendle,['rendleman'],10
953,goot,['gootman'],10
954,rasta,['rastaman'],10
955,uhl,['uhlman'],10
956,heller,['hellerman'],10
957,bier,['bierman'],10
958,herd,['herdman'],10
959,biegel,['biegelman'],10
960,yzer,['yzerman'],10
961,herr,['herrman'],10
962,leader,['leaderman'],10
963,hils,['hilsman'],10
964,koos,['koosman'],10
965,litt,['littman'],10
966,lit,['litman'],10
967,lager,['lagerman'],10
968,linge,['lingeman'],10
969,dike,['dikeman'],10
970,just,['justman'],10
971,lighter,['lighterman'],10
972,schoe,['schoeman'],10
973,hulse,['hulseman'],10
974,lene,['leneman'],10
975,wold,['woldman'],10
976,last,['lastman'],10
977,elf,['elfman'],10
978,shuk,['shukman'],10
979,immel,['immelman'],10
980,walker,['walkerman'],10
981,infrahu,['infrahuman'],10
982,mess,['messman'],10
983,blech,['blechman'],10
984,kinna,['kinnaman'],10
985,kase,['kaseman'],9
986,bork,['borkman'],9
987,kur,['kurman'],9
988,mitz,['mitzman'],9
989,kalich,['kalichman'],9
990,little,['littleman'],9
991,handles,['handlesman'],9
992,wrights,['wrightsman'],9
993,fendel,['fendelman'],9
994,timer,['timerman'],9
995,reich,['reichman'],9
996,bateau,['bateauman'],9
997,gass,['gassman'],9
998,flitt,['flittman'],9
999,kittle,['kittleman'],9
1000,abdurrah,['abdurrahman'],9
1001,thier,['thierman'],9
1002,steur,['steurman'],9
1003,huber,['huberman'],9
1004,jintle,['jintleman'],9
1005,tilt,['tiltman'],9
1006,chura,['churaman'],9
1007,shiff,['shiffman'],9
1008,turco,['turcoman'],9
1009,kappel,['kappelman'],9
1010,donkey,['donkeyman'],9
1011,tal,['talman'],9
1012,bonder,['bonderman'],9
1013,cooper,['cooperman'],9
1014,zuker,['zukerman'],9
1015,disc,['discman'],9
1016,gas,['gasman'],9
1017,heile,['heileman'],9
1018,guiter,['guiterman'],9
1019,treis,['treisman'],9
1020,rock,['rockman'],9
1021,wad,['wadman'],9
1022,hedge,['hedgeman'],9
1023,taxi,['taximan'],9
1024,hede,['hedeman'],9
1025,ar,['arman'],9
1026,kloster,['klosterman'],9
1027,cocks,['cocksman'],9
1028,stutz,['stutzman'],9
