index,word,stem,suffix,frequency,frequency_in_a_million
313,bachman,bach,man,111,0.2980291133364041
314,chairwoman,chair,woman,111,0.2980291133364041
315,drayman,dray,man,110,0.29534416636940947
316,irishwoman,irish,woman,108,0.28997427243542023
317,countrywoman,country,woman,108,0.28997427243542023
318,carman,car,man,108,0.28997427243542023
319,kingman,king,man,107,0.2872893254684256
320,pitchman,pitch,man,106,0.28460437850143094
321,wasserman,wasser,man,106,0.28460437850143094
322,cashman,cash,man,105,0.2819194315344363
323,waxman,wax,man,104,0.27923448456744165
324,scherman,scher,man,104,0.27923448456744165
325,horsewoman,horse,woman,104,0.27923448456744165
326,berryman,berry,man,104,0.27923448456744165
327,waldman,wald,man,103,0.27654953760044704
328,gintleman,gintle,man,103,0.27654953760044704
329,fineman,fine,man,101,0.2711796436664578
330,shearman,shear,man,101,0.2711796436664578
331,borman,bor,man,99,0.2658097497324685
332,syngman,syng,man,98,0.2631248027654739
333,madwoman,mad,woman,98,0.2631248027654739
334,rosenman,rosen,man,98,0.2631248027654739
335,plainsman,plains,man,98,0.2631248027654739
336,sugarman,sugar,man,97,0.2604398557984792
337,jarman,jar,man,97,0.2604398557984792
338,signalman,signal,man,97,0.2604398557984792
339,batsman,bats,man,96,0.25775490883148466
340,bridgman,bridg,man,96,0.25775490883148466
341,perelman,perel,man,96,0.25775490883148466
342,spaceman,space,man,96,0.25775490883148466
343,runciman,runci,man,96,0.25775490883148466
344,subhuman,subhu,man,95,0.25506996186449
345,bauman,bau,man,94,0.2523850148974954
346,bellman,bell,man,94,0.2523850148974954
347,beckman,beck,man,94,0.2523850148974954
348,steadman,stead,man,94,0.2523850148974954
349,laundryman,laundry,man,94,0.2523850148974954
350,leman,le,man,93,0.24970006793050073
351,riverman,river,man,93,0.24970006793050073
352,iman,i,man,93,0.24970006793050073
353,gutman,gut,man,92,0.24701512096350609
354,overman,over,man,92,0.24701512096350609
355,hinman,hin,man,91,0.24433017399651147
356,adman,ad,man,91,0.24433017399651147
357,milman,mil,man,91,0.24433017399651147
358,wayman,way,man,90,0.24164522702951688
359,sleeman,slee,man,90,0.24164522702951688
360,drukman,druk,man,90,0.24164522702951688
361,klansman,klans,man,90,0.24164522702951688
362,radioman,radio,man,89,0.23896028006252223
363,osterman,oster,man,88,0.2362753330955276
364,groomsman,grooms,man,87,0.23359038612853295
365,indiaman,india,man,87,0.23359038612853295
366,silberman,silber,man,87,0.23359038612853295
367,chairperson,chair,person,87,0.23359038612853295
368,outdoorsman,outdoors,man,87,0.23359038612853295
369,codman,cod,man,87,0.23359038612853295
370,kreiderman,kreider,man,86,0.2309054391615383
371,kauffman,kauff,man,86,0.2309054391615383
372,heitman,heit,man,86,0.2309054391615383
373,terman,ter,man,86,0.2309054391615383
374,clubman,club,man,86,0.2309054391615383
375,huffman,huff,man,85,0.22822049219454368
376,dorfman,dorf,man,85,0.22822049219454368
377,quitman,quit,man,84,0.22553554522754907
